masa_A
t	x	y
3,036366667E0	-2,656017463E0	-3,861494635E1
3,053050000E0	-3,879406761E0	-3,898485939E1
3,069733333E0	-5,194679585E0	-3,926307877E1
3,086416667E0	-6,494174569E0	-3,941607122E1
3,103100000E0	-7,882094962E0	-3,943985809E1
3,119783333E0	-9,171276228E0	-3,939847049E1
3,136466667E0	-1,048992129E1	-3,922364947E1
3,153150000E0	-1,174234645E1	-3,890610166E1
3,169833333E0	-1,299639149E1	-3,851610375E1
3,186516667E0	-1,414321140E1	-3,806924564E1
3,203200000E0	-1,522445233E1	-3,754566544E1
3,219883333E0	-1,623197469E1	-3,697048153E1
3,236566667E0	-1,715872052E1	-3,634229425E1
3,253250000E0	-1,802809111E1	-3,564594300E1
3,269933333E0	-1,882485144E1	-3,493235151E1
3,286616667E0	-1,952039707E1	-3,418304380E1
3,303300000E0	-2,013263657E1	-3,344560619E1
3,319983333E0	-2,065527033E1	-3,270226180E1
3,336666667E0	-2,115003087E1	-3,207658082E1
3,353350000E0	-2,154771148E1	-3,137784495E1
3,370033333E0	-2,190874070E1	-3,076861780E1
3,386716667E0	-2,216202233E1	-3,013763642E1
3,403400000E0	-2,237282264E1	-2,960560540E1
3,420083333E0	-2,260382239E1	-2,913124977E1
3,436766667E0	-2,273924252E1	-2,872884384E1
3,453450000E0	-2,284933795E1	-2,839580656E1
3,470133333E0	-2,293131437E1	-2,814012598E1
3,486816667E0	-2,301649357E1	-2,790061565E1
3,503500000E0	-2,304148908E1	-2,773572488E1
3,520183333E0	-2,307858048E1	-2,763379058E1
3,536866667E0	-2,309019604E1	-2,760588568E1
3,553550000E0	-2,308439456E1	-2,767374902E1
3,570233333E0	-2,302259091E1	-2,780347997E1
3,586916667E0	-2,297007469E1	-2,799043748E1
3,603600000E0	-2,289336253E1	-2,822437035E1
3,620283333E0	-2,280373582E1	-2,854757013E1
3,636966667E0	-2,267018454E1	-2,892852568E1
3,653650000E0	-2,249200764E1	-2,938636649E1
3,670333333E0	-2,225855288E1	-2,985569324E1
3,687016667E0	-2,203546143E1	-3,043186494E1
3,703700000E0	-2,171838917E1	-3,103139883E1
3,720383333E0	-2,138019234E1	-3,167129545E1
3,737066667E0	-2,093306303E1	-3,233351961E1
3,753750000E0	-2,044050975E1	-3,305582465E1
3,770433333E0	-1,988794141E1	-3,381326761E1
3,787116667E0	-1,924981382E1	-3,451944182E1
3,803800000E0	-1,851401596E1	-3,522653534E1
3,820483333E0	-1,772228185E1	-3,596499954E1
3,837166667E0	-1,678742317E1	-3,661841553E1
3,853850000E0	-1,580775254E1	-3,724964864E1
3,870533333E0	-1,478827681E1	-3,784757265E1
3,887216667E0	-1,370129981E1	-3,832959177E1
3,903900000E0	-1,248630291E1	-3,875054554E1
3,920583333E0	-1,128654565E1	-3,910468351E1
3,937266667E0	-9,992802059E0	-3,932729579E1
3,953950000E0	-8,746067508E0	-3,944923364E1
3,970633333E0	-7,441705481E0	-3,945912057E1
3,987316667E0	-6,185994113E0	-3,938501583E1
4,004000000E0	-4,920840197E0	-3,921504293E1
4,020683333E0	-3,684861639E0	-3,892173465E1
4,037366667E0	-2,524918535E0	-3,856086175E1
4,054050000E0	-1,405659047E0	-3,815062807E1
4,070733333E0	-3,708679103E-1	-3,764161303E1
4,087416667E0	5,753856078E-1	-3,708363103E1
4,104100000E0	1,521034922E0	-3,643636225E1
4,120783333E0	2,382602820E0	-3,575964019E1
4,137466667E0	3,103318575E0	-3,507497920E1
4,154150000E0	3,803045045E0	-3,439239808E1
4,170833333E0	4,424682055E0	-3,369883719E1
4,187516667E0	4,941283343E0	-3,301467080E1
4,204200000E0	5,405021430E0	-3,235208905E1
4,220883333E0	5,828546997E0	-3,171596733E1
4,237566667E0	6,157800397E0	-3,111637125E1
4,254250000E0	6,437239578E0	-3,053930608E1
4,270933333E0	6,666742410E0	-2,999970750E1
4,287616667E0	6,862895047E0	-2,954977535E1
4,304300000E0	7,000378915E0	-2,918328719E1
4,320983333E0	7,125815582E0	-2,884075719E1
4,337666667E0	7,224088861E0	-2,860186779E1
4,354350000E0	7,274964901E0	-2,840116086E1
4,371033333E0	7,288672169E0	-2,827139516E1
4,387716667E0	7,330406549E0	-2,818310415E1
4,404400000E0	7,333194597E0	-2,818310241E1
4,421083333E0	7,306181532E0	-2,826407312E1
4,437766667E0	7,260002614E0	-2,838516315E1
4,454450000E0	7,207709775E0	-2,858618425E1
4,471133333E0	7,118780035E0	-2,883747087E1
4,487816667E0	7,028277271E0	-2,915163190E1
4,504500000E0	6,850376729E0	-2,956389367E1
4,521183333E0	6,662127181E0	-2,999276715E1
4,537866667E0	6,438180542E0	-3,046384680E1
